stt,tinh,quan_huyen,xa_phuong,duong_pho,kc_duong_chinh,min_dorong_ngo,dien_tich,mat_tien,so_mattien,thoi_diem_hieu_luc,district,ward,REF_TINH_CODE,REF_HUYEN_CODE,REF_XA_CODE,don_gia1
18940,Thành phố Hà Nội,Quận Ba Đình,Phường Cống Vị,Phan Kế Bính,0,13,86,6.8,1,2021-09-27 00:00:00,ba đình,ba đình_cống vị,148873,148874,195241,0.319476744
18941,Thành phố Hà Nội,Quận Ba Đình,Phường Cống Vị,Phan Kế Bính,0,13,90,7,1,2021-09-27 00:00:00,ba đình,ba đình_cống vị,148873,148874,195241,0.315688889
18942,Thành phố Hà Nội,Quận Ba Đình,Phường Cống Vị,Phan Kế Bính,0,13,45,4.2,1,2021-09-27 00:00:00,ba đình,ba đình_cống vị,148873,148874,195241,0.292444444
18943,Thành phố Hà Nội,Quận Ba Đình,Phường Cống Vị,Phan Kế Bính,0,13,83,18.3,2,2021-09-27 00:00:00,ba đình,ba đình_cống vị,148873,148874,195241,0.28641672
18954,Thành phố Hà Nội,Huyện Thạch Thất,Xã Cần Kiệm,Đường liên xã,200,4.1,200,10,2,2021-09-27 00:00:00,thạch thất,thạch thất_cần kiệm,148873,152286,152363,0.01525
18955,Thành phố Hà Nội,Huyện Thạch Thất,Xã Cần Kiệm,Đường liên xã,200,4.1,220,11,2,2021-09-27 00:00:00,thạch thất,thạch thất_cần kiệm,148873,152286,152363,0.014545455
18956,Thành phố Hà Nội,Huyện Thạch Thất,Xã Cần Kiệm,Đường liên xã,200,4.1,200,10,2,2021-09-27 00:00:00,thạch thất,thạch thất_cần kiệm,148873,152286,152363,0.015
18969,Thành phố Hà Nội,Quận Ba Đình,Phường Vĩnh Phúc,Hoàng Hoa Thám,0,10,85,4.5,1,2021-09-30 00:00:00,ba đình,ba đình_vĩnh phúc,148873,148874,195240,0.139970588
18990,Thành phố Hà Nội,Huyện Hoài Đức,Xã An Khánh,Lê Trọng Tấn,250,10.5,360.1,19.99,2,2021-09-28 00:00:00,hoài đức,hòai đức_an khánh,148873,151598,195428,0.050490491
19025,Thành phố Hà Nội,Quận Hoàng Mai,Phường Đại Kim,Đại Từ,80,5,198,8.34,1,2021-09-25 00:00:00,hoàng mai,hòang mai_đại kim,148873,150379,195345,0.083333333
