stt,tinh,quan_huyen,xa_phuong,duong_pho,kc_duong_chinh,min_dorong_ngo,dien_tich,mat_tien,so_mattien,thoi_diem_hieu_luc,district,ward,REF_TINH_CODE,REF_HUYEN_CODE,REF_XA_CODE,don_gia1
40264,Thành phố Hà Nội,Huyện Phúc Thọ,Xã Tam Hiệp,Đường trục làng nghề Tam Hiệp: Từ giáp Quốc lộ 32 đến giáp đình Thượng Hiệp,100,2.5,100,5,1,2021-11-10 00:00:00,phúc thọ,phúc thọ_tam hiệp,148873,151998,152056,0.02
40265,Thành phố Hà Nội,Huyện Phúc Thọ,Xã Tam Hiệp,Đường trục làng nghề Tam Hiệp: Từ giáp Quốc lộ 32 đến giáp đình Thượng Hiệp,290,2.5,64.5,5,1,2021-11-10 00:00:00,phúc thọ,phúc thọ_tam hiệp,148873,151998,152056,0.0182
40273,Thành phố Hà Nội,Huyện Sóc Sơn,Xã Phú Cường,Quốc lộ 2A,290,2,65.30000006,4,1,2021-11-08 00:00:00,sóc sơn,sóc sơn_phú cường,148873,152186,152240,0.006789352
40274,Thành phố Hà Nội,Huyện Thanh Oai,Xã Tam Hưng,Đường ĐT 427B,250,3,126,11.5,1,2021-11-10 00:00:00,thanh oai,thanh oai_tam hưng,148873,152384,152452,0.01484127
40275,Thành phố Hà Nội,Huyện Thanh Oai,Xã Tam Hưng,Đường ĐT 427B,300,2.5,74.5,6.8,1,2021-11-10 00:00:00,thanh oai,thanh oai_tam hưng,148873,152384,152452,0.012483221
40276,Thành phố Hà Nội,Huyện Thanh Oai,Xã Tam Hưng,Đường ĐT 427B,600,2.7,254.5,22.6,2,2021-11-10 00:00:00,thanh oai,thanh oai_tam hưng,148873,152384,152452,0.011424914
40277,Thành phố Hà Nội,Huyện Gia Lâm,Xã Kiêu Kỵ,Đường Kiêu Kỵ,350,3.4,41.2,3.9,1,2021-11-10 00:00:00,gia lâm,gia lâm_kiêu kỵ,148873,151480,151566,0.033980583
40278,Thành phố Hà Nội,Huyện Gia Lâm,Xã Kiêu Kỵ,Đường Kiêu Kỵ,200,2.5,52,3.5,1,2021-11-10 00:00:00,gia lâm,gia lâm_kiêu kỵ,148873,151480,151566,0.029461538
40279,Thành phố Hà Nội,Huyện Gia Lâm,Xã Kiêu Kỵ,Đường Kiêu Kỵ,300,3.5,115,5.4,1,2021-11-10 00:00:00,gia lâm,gia lâm_kiêu kỵ,148873,151480,151566,0.026086957
40280,Thành phố Hà Nội,Huyện Gia Lâm,Xã Kiêu Kỵ,Đường Kiêu Kỵ,300,3.5,103,6.5,1,2021-11-10 00:00:00,gia lâm,gia lâm_kiêu kỵ,148873,151480,151566,0.028936877
40302,Thành phố Hà Nội,Huyện Sóc Sơn,Xã Minh Trí,Đất ở khu dân cư nông thôn (Xã Minh Trí),300,3.5,200,8,1,2021-11-09 00:00:00,sóc sơn,sóc sơn_minh trí,148873,152186,152280,0.007
40303,Thành phố Hà Nội,Huyện Sóc Sơn,Xã Minh Trí,Đất ở khu dân cư nông thôn (Xã Minh Trí),800,4,610,20,1,2021-11-09 00:00:00,sóc sơn,sóc sơn_minh trí,148873,152186,152280,0.006229508
40314,Thành phố Hà Nội,Quận Hai Bà Trưng,Phường Minh Khai,Minh Khai,400,2,35,4,1,2021-11-09 00:00:00,hai bà trưng,hai bà trưng_minh khai,148873,149556,195338,0.065771429
40336,Thành phố Hà Nội,Quận Hà Đông,Phường Yên Nghĩa,Yên Lộ,250,4,36,3.5,2,2021-11-08 00:00:00,hà đông,hà đông_yên nghĩa,148873,149779,195409,0.052
40337,Thành phố Hà Nội,Quận Hà Đông,Phường Yên Nghĩa,Yên Lộ,300,4,38.10000001,3.1,1,2021-11-08 00:00:00,hà đông,hà đông_yên nghĩa,148873,149779,195409,0.051512255
40347,Thành phố Hà Nội,Quận Nam Từ Liêm,Phường Mỹ Đình 2,Hàm Nghi,50,15,120,6,1,2021-11-08 00:00:00,nam từ liêm,nam từ liêm_mỹ đình 2,148873,150671,195373,0.200341667
40392,Thành phố Hà Nội,Quận Hoàng Mai,Phường Thịnh Liệt,Giáp Nhị,300,2.3,32.9,3.35,1,2021-11-09 00:00:00,hoàng mai,hòang mai_thịnh liệt,148873,150379,195350,0.057360672
40397,Thành phố Hà Nội,Huyện Thanh Oai,Xã Thanh Thùy,Đường ĐT 427B,1200,1.75,161,11.9,2,2021-11-08 00:00:00,thanh oai,thanh oai_thanh thùy,148873,152384,152454,0.008950944
40398,Thành phố Hà Nội,Huyện Thạch Thất,Xã Canh Nậu,Đường liên xã,25,1.7,144,7,2,2021-11-08 00:00:00,thạch thất,thạch thất_canh nậu,148873,152286,152353,0.008980903
40399,Thành phố Hà Nội,Huyện Thạch Thất,Xã Canh Nậu,Đường liên xã,150,1.7,122,2,1,2021-11-08 00:00:00,thạch thất,thạch thất_canh nậu,148873,152286,152353,0.009
40400,Thành phố Hà Nội,Huyện Thạch Thất,Xã Canh Nậu,Đường liên xã,30,1.7,144,7,2,2021-11-08 00:00:00,thạch thất,thạch thất_canh nậu,148873,152286,152353,0.008980903
40401,Thành phố Hà Nội,Huyện Thạch Thất,Xã Canh Nậu,Đường liên xã,37,1.7,169.2,2,1,2021-11-08 00:00:00,thạch thất,thạch thất_canh nậu,148873,152286,152353,0.007998924
40408,Thành phố Hà Nội,Quận Tây Hồ,Phường Bưởi,Thụy Khuê,50,1.5,80.44,3.26,2,2021-11-10 00:00:00,tây hồ,tây hồ_bưởi,148873,150889,195275,0.065091684
40413,Thành phố Hà Nội,Huyện Phú Xuyên,Xã Châu Can,Quốc lộ 1A,900,5.2,60,5,1,2021-11-09 00:00:00,phú xuyên,phú xuyên_châu can,148873,151880,151952,0.012067222
40430,Thành phố Hà Nội,Quận Ba Đình,Phường Cống Vị,Linh Lang,50,3,73,6,1,2021-11-09 00:00:00,ba đình,ba đình_cống vị,148873,148874,195241,0.151232877
40431,Thành phố Hà Nội,Quận Ba Đình,Phường Cống Vị,Linh Lang,70,4.3,56,5.3,1,2021-11-09 00:00:00,ba đình,ba đình_cống vị,148873,148874,195241,0.185714286
40432,Thành phố Hà Nội,Quận Ba Đình,Phường Cống Vị,Linh Lang,80,3,90,8,1,2021-11-09 00:00:00,ba đình,ba đình_cống vị,148873,148874,195241,0.147777778
40448,Thành phố Hà Nội,Huyện Hoài Đức,Xã Song Phương,Đường Sơn Đồng - Song Phương (từ ngã Tư Sơn Đồng đến đê tả Đáy),90,4.5,63.5,4,1,2021-11-09 00:00:00,hoài đức,hòai đức_song phương,148873,151598,151663,0.039317222
40449,Thành phố Hà Nội,Huyện Thạch Thất,Xã Kim Quan,Đường liên thôn,0,5,100,5,1,2021-11-09 00:00:00,thạch thất,thạch thất_kim quan,148873,152286,152345,0.017
40450,Thành phố Hà Nội,Huyện Thạch Thất,Xã Kim Quan,Đường liên thôn,0,5,110,5,1,2021-11-09 00:00:00,thạch thất,thạch thất_kim quan,148873,152286,152345,0.017272727
40451,Thành phố Hà Nội,Huyện Thạch Thất,Xã Kim Quan,Đường liên thôn,0,5,100,5,1,2021-11-09 00:00:00,thạch thất,thạch thất_kim quan,148873,152286,152345,0.017
40452,Thành phố Hà Nội,Huyện Thạch Thất,Xã Kim Quan,Đường liên thôn,0,5,310.8,13.03,1,2021-11-09 00:00:00,thạch thất,thạch thất_kim quan,148873,152286,152345,0.012136364
40463,Thành phố Hà Nội,Huyện Đông Anh,Xã Bắc Hồng,Đường Nam Hồng,1800,4.5,50,4,1,2021-11-05 00:00:00,đông anh,đông anh_bắc hồng,148873,151363,151458,0.028
40464,Thành phố Hà Nội,Huyện Đông Anh,Xã Bắc Hồng,Đường Nam Hồng,1850,5,100,5,1,2021-11-05 00:00:00,đông anh,đông anh_bắc hồng,148873,151363,151458,0.028
40465,Thành phố Hà Nội,Huyện Đông Anh,Xã Bắc Hồng,Đường Nam Hồng,1750,4.5,50,4,1,2021-11-05 00:00:00,đông anh,đông anh_bắc hồng,148873,151363,151458,0.028
40466,Thành phố Hà Nội,Huyện Đông Anh,Xã Bắc Hồng,Đường Nam Hồng,1770,4.5,58,3.62,1,2021-11-05 00:00:00,đông anh,đông anh_bắc hồng,148873,151363,151458,0.02772
40478,Thành phố Hà Nội,Quận Long Biên,Phường Long Biên,Tư Đình,200,2.3,30,4.3,1,2021-11-09 00:00:00,long biên,long biên_long biên,148873,150530,195287,0.05
40492,Thành phố Hà Nội,Huyện Sóc Sơn,Xã Trung Giã,Quốc lộ 3 đi thôn thống nhất (đoạn Chợ Nỷ),40,4.1,93,5,1,2021-11-08 00:00:00,sóc sơn,sóc sơn_trung giã,148873,152186,152252,0.009677419
40493,Thành phố Hà Nội,Huyện Sóc Sơn,Xã Trung Giã,Quốc lộ 3 đi thôn thống nhất (đoạn Chợ Nỷ),60,4,72,5.87,1,2021-11-08 00:00:00,sóc sơn,sóc sơn_trung giã,148873,152186,152252,0.011111111
40494,Thành phố Hà Nội,Huyện Sóc Sơn,Xã Trung Giã,Quốc lộ 3 đi thôn thống nhất (đoạn Chợ Nỷ),40,4.1,93,5,1,2021-11-08 00:00:00,sóc sơn,sóc sơn_trung giã,148873,152186,152252,0.00948732
40498,Thành phố Hà Nội,Huyện Thạch Thất,Xã Bình Phú,Đường liên thôn,0,5.8,100,5,1,2021-11-10 00:00:00,thạch thất,thạch thất_bình phú,148873,152286,152351,0.02
40499,Thành phố Hà Nội,Huyện Thạch Thất,Xã Bình Phú,Đường liên thôn,0,5.8,100,5,1,2021-11-10 00:00:00,thạch thất,thạch thất_bình phú,148873,152286,152351,0.02
40500,Thành phố Hà Nội,Huyện Thạch Thất,Xã Bình Phú,Đường liên thôn,0,5.8,100,5,1,2021-11-10 00:00:00,thạch thất,thạch thất_bình phú,148873,152286,152351,0.02
40517,Thành phố Hà Nội,Quận Ba Đình,Phường Cống Vị,Linh Lang,15,2.7,90,6.52,1,2021-11-09 00:00:00,ba đình,ba đình_cống vị,148873,148874,195241,0.143834573
40530,Thành phố Hà Nội,Quận Hoàng Mai,Phường Thịnh Liệt,Giáp Nhị,300,2.3,32.9,3.35,1,2021-11-09 00:00:00,hoàng mai,hòang mai_thịnh liệt,148873,150379,195350,0.057360672
40558,Thành phố Hà Nội,Huyện Chương Mỹ,Xã Đại Yên,Tỉnh lộ 419,200,3.9,81,4.5,2,2021-11-09 00:00:00,chương mỹ,chương mỹ_đại yên,148873,151179,151275,0.017037037
40559,Thành phố Hà Nội,Huyện Chương Mỹ,Xã Đại Yên,Tỉnh lộ 419,100,4.5,273,17,1,2021-11-09 00:00:00,chương mỹ,chương mỹ_đại yên,148873,151179,151275,0.015934066
40560,Thành phố Hà Nội,Huyện Chương Mỹ,Xã Đại Yên,Tỉnh lộ 419,20,3.6,243,15,2,2021-11-09 00:00:00,chương mỹ,chương mỹ_đại yên,148873,151179,151275,0.017983539
40561,Thành phố Hà Nội,Huyện Chương Mỹ,Xã Đại Yên,Tỉnh lộ 419,80,3.6,134.5,9,1,2021-11-09 00:00:00,chương mỹ,chương mỹ_đại yên,148873,151179,151275,0.016074127
40574,Thành phố Hà Nội,Huyện Phú Xuyên,Xã Bạch Hạ,Đường 428 b,500,2.2,233,3,1,2021-11-10 00:00:00,phú xuyên,phú xuyên_bạch hạ,148873,151880,151986,0.002897329
40595,Thành phố Hà Nội,Huyện Hoài Đức,Xã Đức Giang,Đường 422,500,2,50.4,4,1,2021-11-05 00:00:00,hoài đức,hòai đức_đức giang,148873,151598,151653,0.01984127
40596,Thành phố Hà Nội,Huyện Hoài Đức,Xã Đức Giang,Quốc lộ 32,200,2,46.9,3.4,1,2021-11-05 00:00:00,hoài đức,hòai đức_đức giang,148873,151598,151653,0.023454158
40624,Thành phố Hà Nội,Huyện Thanh Oai,Xã Tam Hưng,Đường ĐT 427B,450,2.5,242,12.06,2,2021-11-10 00:00:00,thanh oai,thanh oai_tam hưng,148873,152384,152452,0.01177686
40625,Thành phố Hà Nội,Huyện Thanh Oai,Xã Tam Hưng,Đường ĐT 427B,500,3,126,11.5,1,2021-11-10 00:00:00,thanh oai,thanh oai_tam hưng,148873,152384,152452,0.01484127
40626,Thành phố Hà Nội,Huyện Thanh Oai,Xã Tam Hưng,Đường ĐT 427B,600,2.5,74.5,6.8,1,2021-11-10 00:00:00,thanh oai,thanh oai_tam hưng,148873,152384,152452,0.012483221
40627,Thành phố Hà Nội,Huyện Thanh Oai,Xã Tam Hưng,Đường ĐT 427B,800,3,232.7,10,2,2021-11-10 00:00:00,thanh oai,thanh oai_tam hưng,148873,152384,152452,0.010149028
40628,Thành phố Hà Nội,Huyện Đông Anh,Xã Nam Hồng,Đường Nam Hồng,500,5,64.5,4.3,2,2021-11-09 00:00:00,đông anh,đông anh_nam hồng,148873,151363,151454,0.030232558
40629,Thành phố Hà Nội,Huyện Đông Anh,Xã Nam Hồng,Đường Nam Hồng,440,5.5,94.60000002,4.92,1,2021-11-09 00:00:00,đông anh,đông anh_nam hồng,148873,151363,151454,0.026434206
40643,Thành phố Hà Nội,Huyện Thanh Oai,Xã Tam Hưng,Đường ĐT 427B,650,2.5,242,12.06,2,2021-11-10 00:00:00,thanh oai,thanh oai_tam hưng,148873,152384,152452,0.01177686
40644,Thành phố Hà Nội,Huyện Thanh Oai,Xã Tam Hưng,Đường ĐT 427B,450,3,126,11.5,1,2021-11-10 00:00:00,thanh oai,thanh oai_tam hưng,148873,152384,152452,0.01484127
40645,Thành phố Hà Nội,Huyện Thanh Oai,Xã Tam Hưng,Đường ĐT 427B,400,2.5,74.5,6.8,1,2021-11-10 00:00:00,thanh oai,thanh oai_tam hưng,148873,152384,152452,0.013154362
40646,Thành phố Hà Nội,Huyện Thanh Oai,Xã Tam Hưng,Đường ĐT 427B,650,2.7,265,2.7,1,2021-11-10 00:00:00,thanh oai,thanh oai_tam hưng,148873,152384,152452,0.008094083
40655,Thành phố Hà Nội,Huyện Hoài Đức,Xã La Phù,Đường La Phù,40,4.5,196.3,10.83,2,2021-11-10 00:00:00,hoài đức,hòai đức_la phù,148873,151598,195429,0.047608514
40668,Thành phố Hà Nội,Huyện Thạch Thất,Xã Phú Kim,Đường liên xã,30,4,100,5,1,2021-11-10 00:00:00,thạch thất,thạch thất_phú kim,148873,152286,152341,0.0087
40669,Thành phố Hà Nội,Huyện Thạch Thất,Xã Phú Kim,Đường liên xã,30,4,90,5,1,2021-11-10 00:00:00,thạch thất,thạch thất_phú kim,148873,152286,152341,0.008888889
40670,Thành phố Hà Nội,Huyện Thạch Thất,Xã Phú Kim,Đường liên xã,30,4,100,5,1,2021-11-10 00:00:00,thạch thất,thạch thất_phú kim,148873,152286,152341,0.0087
40671,Thành phố Hà Nội,Huyện Thạch Thất,Xã Phú Kim,Đường liên xã,20,4,90.5,4.3,2,2021-11-10 00:00:00,thạch thất,thạch thất_phú kim,148873,152286,152341,0.008732074
40690,Thành phố Hà Nội,Quận Bắc Từ Liêm,Phường Cổ Nhuế 1,Trần Cung,20,2,34,6,1,2021-11-05 00:00:00,bắc từ liêm,bắc từ liêm_cổ nhuế 1,148873,149087,195395,0.064176471
40691,Thành phố Hà Nội,Quận Cầu Giấy,Phường Nghĩa Tân,Trần Cung (đoạn đường 69 cũ),70,2.5,32,5.4,1,2021-11-05 00:00:00,cầu giấy,cầu giấy_nghĩa tân,148873,149252,195292,0.06675
40692,Thành phố Hà Nội,Huyện Thạch Thất,Xã Bình Yên,Đường liên thôn,130,7,98.34,5.24,1,2021-11-05 00:00:00,thạch thất,thạch thất_bình yên,148873,152286,152365,0.024
40693,Thành phố Hà Nội,Huyện Thạch Thất,Xã Bình Yên,Đường liên thôn,170,7,100,5,1,2021-11-05 00:00:00,thạch thất,thạch thất_bình yên,148873,152286,152365,0.024
40694,Thành phố Hà Nội,Huyện Thạch Thất,Xã Bình Yên,Đường liên thôn,180,7,100,5,1,2021-11-05 00:00:00,thạch thất,thạch thất_bình yên,148873,152286,152365,0.024
40695,Thành phố Hà Nội,Huyện Thạch Thất,Xã Bình Yên,Đường liên thôn,188,7,90.5,5.63,1,2021-11-05 00:00:00,thạch thất,thạch thất_bình yên,148873,152286,152365,0.024
40713,Thành phố Hà Nội,Quận Tây Hồ,Phường Thụy Khuê,Dốc Tam Đa,0,8,90,3.3,1,2021-11-09 00:00:00,tây hồ,tây hồ_thụy khuê,148873,150889,195276,0.172444444
40714,Thành phố Hà Nội,Quận Tây Hồ,Phường Thụy Khuê,Dốc Tam Đa,0,8,194,11,1,2021-11-09 00:00:00,tây hồ,tây hồ_thụy khuê,148873,150889,195276,0.211340206
40719,Thành phố Hà Nội,Huyện Mỹ Đức,Xã Hợp Tiến,ĐT76,800,2.24,560,6.5,1,2021-11-10 00:00:00,mỹ đức,mỹ đức_hợp tiến,148873,151795,151874,0.001965022
40786,Thành phố Hà Nội,Huyện Thạch Thất,Xã Canh Nậu,Đường liên thôn,250,1.8,48,3.5,1,2021-11-10 00:00:00,thạch thất,thạch thất_canh nậu,148873,152286,152353,0.0085
40794,Thành phố Hà Nội,Huyện Hoài Đức,Xã La Phù,Đường La Phù,50,2,31,3.3,1,2021-11-10 00:00:00,hoài đức,hòai đức_la phù,148873,151598,195429,0.032898387
40795,Thành phố Hà Nội,Huyện Hoài Đức,Xã La Phù,Đường La Phù,100,2,34,3.5,1,2021-11-10 00:00:00,hoài đức,hòai đức_la phù,148873,151598,195429,0.028235294
40796,Thành phố Hà Nội,Huyện Hoài Đức,Xã La Phù,Tiền Phong,70,2.1,111.2,6.33,1,2021-11-10 00:00:00,hoài đức,hòai đức_la phù,148873,151598,195429,0.029737799
40801,Thành phố Hà Nội,Huyện Phú Xuyên,Xã Phú Yên,Đường 428 a,300,3,128,11.33,1,2021-11-10 00:00:00,phú xuyên,phú xuyên_phú yên,148873,151880,151956,0.008441667
40814,Thành phố Hà Nội,Quận Long Biên,Phường Sài Đồng,Sài Đồng,150,12,92.5,5.45,1,2021-11-09 00:00:00,long biên,long biên_sài đồng,148873,150530,195286,0.108108108
40815,Thành phố Hà Nội,Quận Long Biên,Phường Sài Đồng,Sài Đồng,100,12,96,6.4,1,2021-11-09 00:00:00,long biên,long biên_sài đồng,148873,150530,195286,0.0876875
40816,Thành phố Hà Nội,Quận Long Biên,Phường Sài Đồng,Hoàng Thế Thiện,0,15,87.5,3.5,1,2021-11-09 00:00:00,long biên,long biên_sài đồng,148873,150530,195286,0.097714286
40817,Thành phố Hà Nội,Quận Long Biên,Phường Sài Đồng,Sài Đồng,160,12,77,4.67,2,2021-11-09 00:00:00,long biên,long biên_sài đồng,148873,150530,195286,0.105696985
40824,Thành phố Hà Nội,Quận Cầu Giấy,Phường Trung Hoà,Trần Duy Hưng,0,40,52,4,2,2021-11-11 00:00:00,cầu giấy,cầu giấy_trung hòa,148873,149252,195298,0.387453846
40825,Thành phố Hà Nội,Quận Cầu Giấy,Phường Trung Hoà,Trần Duy Hưng,0,40,140,8,2,2021-11-11 00:00:00,cầu giấy,cầu giấy_trung hòa,148873,149252,195298,0.372971429
40826,Thành phố Hà Nội,Quận Cầu Giấy,Phường Trung Hoà,Trần Duy Hưng,0,40,60,5.4,1,2021-11-11 00:00:00,cầu giấy,cầu giấy_trung hòa,148873,149252,195298,0.394266667
40840,Thành phố Hà Nội,Huyện Phú Xuyên,Xã Bạch Hạ,Đất ở khu dân cư nông thôn (Xã Bạch Hạ),500,4.5,349,11.94,1,2021-11-10 00:00:00,phú xuyên,phú xuyên_bạch hạ,148873,151880,151986,0.003683383
40855,Thành phố Hà Nội,Quận Hà Đông,Phường Dương Nội,LÊ TRỌNG TẤN,80,5,75.19999999,13.74,1,2021-11-09 00:00:00,hà đông,hà đông_dương nội,148873,149779,195413,0.064070707
40862,Thành phố Hà Nội,Huyện Phú Xuyên,Xã Châu Can,Quốc lộ 1A,700,3,144.1,6.75,1,2021-11-09 00:00:00,phú xuyên,phú xuyên_châu can,148873,151880,151952,0.010333333
40873,Thành phố Hà Nội,Huyện Hoài Đức,Xã An Khánh,Nam An Khánh,1000,12,129.5,7,1,2021-11-10 00:00:00,hoài đức,hòai đức_an khánh,148873,151598,195428,0.078809266
40956,Thành phố Hà Nội,Huyện Hoài Đức,Xã An Khánh,Nam An Khánh,950,12,129.5,7,1,2021-11-10 00:00:00,hoài đức,hòai đức_an khánh,148873,151598,195428,0.079581467
41039,Thành phố Hà Nội,Huyện Thường Tín,Xã Tiền Phong,DT427B,1650,5,128,10.6,2,2021-11-10 00:00:00,thường tín,thường tín_tiền phong,148873,152587,152655,0.022530233
41064,Thành phố Hà Nội,Huyện Thạch Thất,Xã Hữu Bằng,Đường 8-3,80,2.3,45.5,3.5,1,2021-11-05 00:00:00,thạch thất,thạch thất_hữu bằng,148873,152286,152361,0.021098901
41065,Thành phố Hà Nội,Huyện Thạch Thất,Xã Hữu Bằng,Đường 8-3,110,2.3,142.1,13.68,1,2021-11-05 00:00:00,thạch thất,thạch thất_hữu bằng,148873,152286,152361,0.019998257
41070,Thành phố Hà Nội,Quận Long Biên,Phường Phúc Lợi,Phúc Lợi,200,5,72,4.1,1,2021-11-11 00:00:00,long biên,long biên_phúc lợi,148873,150530,195284,0.069444444
41071,Thành phố Hà Nội,Quận Long Biên,Phường Phúc Lợi,Phúc Lợi,200,4,101,4.7,1,2021-11-11 00:00:00,long biên,long biên_phúc lợi,148873,150530,195284,0.051485149
41072,Thành phố Hà Nội,Quận Long Biên,Phường Phúc Lợi,Phúc Lợi,100,10,52,5,1,2021-11-11 00:00:00,long biên,long biên_phúc lợi,148873,150530,195284,0.073076923
41082,Thành phố Hà Nội,Quận Hà Đông,Phường Yên Nghĩa,Nghĩa Lộ,30,2,36,3.6,1,2021-11-08 00:00:00,hà đông,hà đông_yên nghĩa,148873,149779,195409,0.040277778
41096,Thành phố Hà Nội,Huyện Hoài Đức,Xã Đắc Sở,Đường Yên Sở - Song Phương,100,4.5,142,9.2,1,2021-11-10 00:00:00,hoài đức,hòai đức_đắc sở,148873,151598,151651,0.03028169
41097,Thành phố Hà Nội,Huyện Hoài Đức,Xã Đắc Sở,Đường Yên Sở - Song Phương,90,4.5,205,11.3,1,2021-11-10 00:00:00,hoài đức,hòai đức_đắc sở,148873,151598,151651,0.026597459
41198,Thành phố Hà Nội,Huyện Đông Anh,Xã Kim Nỗ,Đường Hoàng Sa,2400,5,66,4,1,2021-11-05 00:00:00,đông anh,đông anh_kim nỗ,148873,151363,151466,0.033333333
41199,Thành phố Hà Nội,Huyện Đông Anh,Xã Kim Nỗ,Đường Hoàng Sa,2300,5,62.9,4,1,2021-11-05 00:00:00,đông anh,đông anh_kim nỗ,148873,151363,151466,0.033227345
41200,Thành phố Hà Nội,Huyện Đông Anh,Xã Kim Nỗ,Đường Hoàng Sa,2300,5.3,62.9,4,1,2021-11-05 00:00:00,đông anh,đông anh_kim nỗ,148873,151363,151466,0.03310112
41203,Thành phố Hà Nội,Huyện Thạch Thất,Xã Phùng Xá,Đường liên thôn,180,3.5,72,5.76,2,2021-11-10 00:00:00,thạch thất,thạch thất_phùng xá,148873,152286,152359,0.02929
41205,Thành phố Hà Nội,Quận Hoàng Mai,Phường Lĩnh Nam,Thúy Lĩnh,200,4,65,5.6,1,2021-11-05 00:00:00,hoàng mai,hòang mai_lĩnh nam,148873,150379,195349,0.038461538
41232,Thành phố Hà Nội,Huyện Ba Vì,Xã Phú Sơn,Đường liên thôn,0,3.5,158,6.7,1,2021-11-10 00:00:00,ba vì,ba vì_phú sơn,148873,151065,151153,0.004202532
41233,Thành phố Hà Nội,Huyện Ba Vì,Xã Phú Sơn,Đường liên thôn,0,3.5,150,5,1,2021-11-10 00:00:00,ba vì,ba vì_phú sơn,148873,151065,151153,0.004
41234,Thành phố Hà Nội,Huyện Ba Vì,Xã Phú Sơn,Đường liên thôn,0,3.5,150,5,1,2021-11-10 00:00:00,ba vì,ba vì_phú sơn,148873,151065,151153,0.004
41248,Thành phố Hà Nội,Huyện Gia Lâm,Xã Đặng Xá,Đường Ỷ Lan,400,3,72,4,1,2021-11-09 00:00:00,gia lâm,gia lâm_đặng xá,148873,151480,151570,0.026388889
41249,Thành phố Hà Nội,Huyện Gia Lâm,Xã Đặng Xá,Đường Ỷ Lan,500,3,100,4.1,1,2021-11-09 00:00:00,gia lâm,gia lâm_đặng xá,148873,151480,151570,0.0234
41250,Thành phố Hà Nội,Huyện Gia Lâm,Xã Đặng Xá,Đường Ỷ Lan,430,2.7,71.9,4,1,2021-11-09 00:00:00,gia lâm,gia lâm_đặng xá,148873,151480,151570,0.02483563
41257,Thành phố Hà Nội,Huyện Thạch Thất,Xã Cần Kiệm,Đường liên thôn,20,4.5,200,10,1,2021-11-09 00:00:00,thạch thất,thạch thất_cần kiệm,148873,152286,152363,0.02
41258,Thành phố Hà Nội,Huyện Thạch Thất,Xã Cần Kiệm,Đường liên thôn,30,4.5,200,10,1,2021-11-09 00:00:00,thạch thất,thạch thất_cần kiệm,148873,152286,152363,0.02
41259,Thành phố Hà Nội,Huyện Thạch Thất,Xã Cần Kiệm,Đường liên thôn,50,4.5,200,10,1,2021-11-09 00:00:00,thạch thất,thạch thất_cần kiệm,148873,152286,152363,0.02
41260,Thành phố Hà Nội,Huyện Thạch Thất,Xã Cần Kiệm,Đường liên thôn,25,4.5,379,15.73,2,2021-11-09 00:00:00,thạch thất,thạch thất_cần kiệm,148873,152286,152363,0.02
41261,Thành phố Hà Nội,Thị xã Sơn Tây,Phường Sơn Lộc,Chùa Thông,0,20,127,5,2,2021-11-10 00:00:00,sơn tây,sơn tây_sơn lộc,148873,150784,195420,0.050393701
41262,Thành phố Hà Nội,Thị xã Sơn Tây,Phường Sơn Lộc,Chùa Thông,0,20,100,5,1,2021-11-10 00:00:00,sơn tây,sơn tây_sơn lộc,148873,150784,195420,0.05
41310,Thành phố Hà Nội,Huyện Đông Anh,Xã Bắc Hồng,Đường Nam Hồng,1450,2.6,314,15,1,2021-11-05 00:00:00,đông anh,đông anh_bắc hồng,148873,151363,151458,0.012738854
41311,Thành phố Hà Nội,Huyện Đông Anh,Xã Bắc Hồng,Đường Nam Hồng,1500,3.3,50,4,1,2021-11-05 00:00:00,đông anh,đông anh_bắc hồng,148873,151363,151458,0.0154
41315,Thành phố Hà Nội,Huyện Thường Tín,Xã Khánh Hà,đường liên xã,800,1.5,87,5.42,1,2021-11-04 00:00:00,thường tín,thường tín_khánh hà,148873,152587,152679,0.009322156
41355,Thành phố Hà Nội,Huyện Đan Phượng,Xã Tân Hội,"Các tuyến đường giao thông liên xã ngoài các tuyến đường nêu trên thuộc các xã Liên Hà, Tân Hội",0,7,83,5,1,2021-11-08 00:00:00,đan phượng,đan phượng_tân hội,148873,151297,151347,0.042168675
41356,Thành phố Hà Nội,Huyện Đan Phượng,Xã Tân Hội,Đường Nhuệ Giang,0,7,80,5,1,2021-11-08 00:00:00,đan phượng,đan phượng_tân hội,148873,151297,151347,0.0495
41357,Thành phố Hà Nội,Huyện Đan Phượng,Xã Tân Hội,Đường Nhuệ Giang,0,7,123,7.04,1,2021-11-08 00:00:00,đan phượng,đan phượng_tân hội,148873,151297,151347,0.043280488
41358,Thành phố Hà Nội,Huyện Đan Phượng,Xã Tân Hội,Đường Nhuệ Giang,0,7,109.9,8.2,2,2021-11-08 00:00:00,đan phượng,đan phượng_tân hội,148873,151297,151347,0.04696575
41359,Thành phố Hà Nội,Quận Tây Hồ,Phường Phú Thượng,An Dương Vương,5,4,50,5,1,2021-11-09 00:00:00,tây hồ,tây hồ_phú thượng,148873,150889,195269,0.06
41360,Thành phố Hà Nội,Quận Tây Hồ,Phường Phú Thượng,An Dương Vương,100,3,35,4,1,2021-11-09 00:00:00,tây hồ,tây hồ_phú thượng,148873,150889,195269,0.050142857
